game_date,player_id,player_name,team_abbr,signal_fair_value,forward_delta_game_score,signal_projection
2023-01-28,1630560,Cam Thomas,BKN,71.55675833353888,20.602500000000003,-0.09882337644925994
2023-01-30,1630560,Cam Thomas,BKN,73.66379095607786,19.47878787878788,-0.06760409529624892
2023-02-01,1630560,Cam Thomas,BKN,75.29894630653945,18.59235294117648,0.05920735984182482
2020-08-01,1629008,Michael Porter Jr.,DEN,70.51412896080534,16.78244897959184,-0.28921978351602556
2025-02-23,1630314,Brandon Williams,DAL,65.16994417377448,16.414999999999996,0.39201152844448994
2022-03-30,1630167,Obi Toppin,NYK,75.3032037862828,16.096417910447762,0.6737254910128646
2020-03-11,1629008,Michael Porter Jr.,DEN,71.16416110811028,15.150833333333338,-0.22577599381626273
2025-03-05,1630314,Brandon Williams,DAL,68.23596109124276,15.13238095238095,0.5377763638336435
2024-11-10,1642261,Dalton Knecht,LAL,66.55425179782239,15.120000000000001,-0.08279670784911461
2023-01-26,1630560,Cam Thomas,BKN,71.73160630315289,15.064516129032258,-0.05856086492156695
2021-12-29,1629014,Anfernee Simons,POR,76.75509083444268,14.360000000000003,-0.26429962444915694
2025-02-22,1628380,Zach Collins,CHI,76.09396360737345,14.301025641025642,-0.1842688639840397
2023-03-26,1629004,Svi Mykhailiuk,CHA,69.78450524487144,14.160769230769226,0.5283649586308404
2024-11-08,1642261,Dalton Knecht,LAL,66.16828909555969,14.013333333333335,0.04221942539583232
2024-11-08,1642272,Jared McCain,PHI,70.91616503627516,13.740000000000002,0.21495216752985952
2026-03-10,1642348,Justin Edwards,PHI,74.97128381402379,13.692500000000003,0.12208201637213596
2023-03-29,1630167,Obi Toppin,NYK,74.477042566206,13.639354838709679,-0.05289881503108862
2024-03-16,1630540,Miles McBride,NYK,70.06839450504992,13.495925925925924,0.26092754466566037
2023-03-24,1629004,Svi Mykhailiuk,CHA,68.79289001872141,13.284,0.4485888876448584
2025-02-13,1630314,Brandon Williams,DAL,64.972713043985,13.254736842105267,0.3080585029754246
2023-12-06,203957,Dante Exum,DAL,70.49323538846464,13.156470588235294,0.2850395665087247
2026-03-31,1630604,E.J. Liddell,BKN,61.37901781707637,12.94095238095238,0.09507333688814201
2023-01-08,204456,T.J. McConnell,IND,78.30944657100741,12.913157894736845,-0.14499825258314772
2022-03-02,1629048,Goga Bitadze,IND,70.34992897050141,12.722051282051279,0.018215092762338445
2022-03-06,1629048,Goga Bitadze,IND,73.23790976444204,12.674999999999997,0.13818900030551662
2025-01-29,1630598,Aaron Wiggins,OKC,78.05587632699886,12.5704347826087,-0.0886425599856038
2023-03-23,1629004,Svi Mykhailiuk,CHA,66.78388488982675,12.430000000000001,0.3577399218794192
2023-02-01,1629006,Josh Okogie,PHX,67.81028731464055,12.295652173913044,-0.006933694285182457
2026-02-06,1642914,Javon Small,MEM,69.70440437855302,12.291111111111112,0.3216876136218484
2023-11-11,1629130,Duncan Robinson,MIA,74.93145248677214,12.257777777777779,0.1352275391607354
2018-12-28,1628401,Derrick White,SAS,77.40920475390188,12.249629629629627,0.35078404602566027
2023-11-25,203957,Dante Exum,DAL,66.95153964838511,12.166666666666664,0.17947452545447315
2018-12-26,1628401,Derrick White,SAS,74.15721716504862,12.141538461538458,0.23896490613715377
2023-11-28,203957,Dante Exum,DAL,68.6293482974971,12.121249999999998,0.20993997104912943
